title;artist;album;isrc;addedDate;addedBy;duration;url
"(God Must Have Spent) A Little More Time On You - Remix";*NSYNC;"Greatest Hits";DEA819800775;"2019-08-19 00:04";randomparity;243s;https://open.spotify.com/track/72otaqywVqwyXaCjk75JKm
"The Things We Do For Love";10cc;"Deceptive Bends";GBF087600005;"2019-08-19 00:04";randomparity;208s;https://open.spotify.com/track/6KEWtSOGKpIXGw6l1uJgsR
"I'm Not In Love";10cc;"20th Century Masters: The Millennium Collection: Best Of 10CC";GBF087500001;"2019-08-19 00:04";randomparity;368s;https://open.spotify.com/track/1A6Kwtsg3JWKU2KWM2udpM
"I Do (Cherish You)";98º;"98º And Rising";USMO19883529;"2019-08-19 00:04";randomparity;227s;https://open.spotify.com/track/0p5Bv16XNo5B7AdeKD0H0F
"The Hardest Thing";98º;"The Collection";USMO19883537;"2019-08-19 00:04";randomparity;274s;https://open.spotify.com/track/7EEdDKopE2INq8y1sOZuhU
"Because Of You";98º;"The Collection";USMO19883532;"2019-08-19 00:04";randomparity;296s;https://open.spotify.com/track/7xoN94HgqWTerSUbG5Hf9O
"Bad Company (feat. BlocBoy JB)";"A$AP Rocky, BlocBoy JB";"Bad Company (feat. BlocBoy JB)";USRC11801012;"2019-08-19 00:03";randomparity;184s;https://open.spotify.com/track/3ZYwSDF9knZI0RVlKR4PHC
"Drink With Me";"Aaron Tveit, Eddie Redmayne, Daniel Huttlestone, Students";"Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)";GBUM71207820;"2019-08-18 23:59";randomparity;102s;https://open.spotify.com/track/0Xg3ImLtrcuVDhCsEgj4lM
"Does Your Mother Know";ABBA;"ABBA Gold";SEAYD7901060;"2019-08-18 23:55";randomparity;194s;https://open.spotify.com/track/45EaIq9lKyoQxxTjFkiGbl
"I Do, I Do, I Do, I Do, I Do";ABBA;Abba;SEAYD7501070;"2019-08-19 00:03";randomparity;198s;https://open.spotify.com/track/57BDT1bvzeAzl3IXMQU4Ri
"Mamma Mia";ABBA;Abba;SEAYD7501010;"2019-08-19 00:03";randomparity;215s;https://open.spotify.com/track/22NN4BS1AlqVbyKIWExgON
"Dancing Queen";ABBA;Arrival;SEAYD7601020;"2019-08-19 00:03";randomparity;231s;https://open.spotify.com/track/4NtUY5IGzHCaqfZemmAu56
"Take A Chance On Me";ABBA;"The Album";SEAYD7702020;"2019-08-19 00:03";randomparity;244s;https://open.spotify.com/track/6vQN2a9QSgWcm74KEZYfDL
Waterloo;ABBA;Waterloo;SEAYD7415010;"2019-08-19 00:04";randomparity;169s;https://open.spotify.com/track/0RzhMHIsFMbOGh0oWDvNNK
"All That She Wants";"Ace of Base";"The Sign";SEVJH0803401;"2019-08-19 00:04";randomparity;211s;https://open.spotify.com/track/6kWJvPfC4DgUpRsXKNa9z9
Wonderful;"Adam Ant";Wonderful;GBAYE9400154;"2019-08-19 00:04";randomparity;263s;https://open.spotify.com/track/2oJuoAFzlEHDS0moF0VtuA
"Time Passages";"Al Stewart";"Time Passages";USRH10650445;"2019-08-19 00:03";randomparity;403s;https://open.spotify.com/track/5zVKisBri6JH1fooBhUaVq
"Year of the Cat";"Al Stewart";"Year of the Cat";USRH10650441;"2019-08-19 00:03";randomparity;400s;https://open.spotify.com/track/7MTX3vevnm41xuEoPxWT3j
"Mountain Music";Alabama;"Ultimate Alabama 20 # 1 Hits";USRN10400080;"2019-08-19 00:03";randomparity;219s;https://open.spotify.com/track/7BjmEKAVTnJNkRNaUzBy2K
"Jessica - Unedited Version";"Allman Brothers Band";"Brothers And Sisters (Deluxe Edition)";USPG19190006;"2019-08-19 00:03";randomparity;451s;https://open.spotify.com/track/7kl337nuuTTVcXJiQqBgwJ
"Sabor A Mí";"Alvaro Carrillo, Plácido Domingo, Pablo Sainz Villegas";Volver;USSM11801732;"2019-08-18 23:57";randomparity;192s;https://open.spotify.com/track/0odqQitHymkZswCqGaB58Q
"You Can Do Magic";America;"View From The Ground";USCA29300290;"2019-08-19 00:03";randomparity;237s;https://open.spotify.com/track/5dXED6MP1v1qghkaniirb1
"Tin Man";America;Holiday;USWB19901799;"2019-08-19 00:03";randomparity;210s;https://open.spotify.com/track/4uTTd2SlalZoG0zVgI63kH
