title;artist;album;isrc;addedDate;addedBy;duration;url
"Highway to Hell";AC/DC;"Highway to Hell";AUAP07900028;"2020-02-21 19:56";randomparity;208s;https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
"Hells Bells";AC/DC;"Back In Black";AUAP08000041;"2020-02-21 23:26";randomparity;312s;https://open.spotify.com/track/69QHm3pustz01CJRwdo20z
"White Wedding";"Billy Idol";"New Wave Hits Of The 80s";USCH30100008;"2020-02-21 12:51";randomparity;252s;https://open.spotify.com/track/35i19j4Zz7WaL5KozRHjyQ
"Everybody Wants You";"Billy Squier";"Emotions In Motion";USCA28800333;"2020-02-19 23:30";randomparity;227s;https://open.spotify.com/track/1BUTAQyk9QsdvRDghyMTC9
"Old Time Rock & Roll";"Bob Seger";"Stranger In Town";USCA28600270;"2020-02-21 18:37";randomparity;194s;https://open.spotify.com/track/5EOoMWIB9iK4ZpcSex9Ec7
"Hollywood Nights";"Bob Seger";"Stranger In Town";USCA28600268;"2020-02-21 21:50";randomparity;303s;https://open.spotify.com/track/5VbePtZp1at8gH990zVyTI
"Bad Medicine";"Bon Jovi";"New Jersey (Deluxe Edition)";USPR39402228;"2020-02-20 00:39";randomparity;317s;https://open.spotify.com/track/72hcFp4tYkd3dbNA9dZ3Pv
"Foreplay / Long Time";Boston;Boston;USSM17600873;"2020-02-21 19:22";randomparity;468s;https://open.spotify.com/track/39C5FuZ8C8M0QI8CrMsPkR
"More Than a Feeling";Boston;Boston;USSM17600941;"2020-02-21 23:30";randomparity;285s;https://open.spotify.com/track/1QEEqeFIZktqIpPI4jSVSF
"Prove It All Night";"Bruce Springsteen";"Darkness On the Edge of Town";USSM11002500;"2020-02-19 23:48";randomparity;237s;https://open.spotify.com/track/0Ye9OGxiHF3jylblTCuX7Q
"Modern Love - 2018 Remaster";"David Bowie";"Let's Dance (2018 Remaster)";USJT11700480;"2020-02-20 00:14";randomparity;288s;https://open.spotify.com/track/3gxEZXUjrNbl3TlSrTGbR5
"Modern Love - 2018 Remaster";"David Bowie";"Let's Dance (2018 Remaster)";USJT11700480;"2020-02-21 19:13";randomparity;288s;https://open.spotify.com/track/3gxEZXUjrNbl3TlSrTGbR5
"Sultans of Swing";"Dire Straits";"Dire Straits";GBF089601041;"2020-02-21 22:25";randomparity;350s;https://open.spotify.com/track/6cr6UDpkjEaMQ80OjWqEBQ
Pretending;"Eric Clapton";Journeyman;USRE19900637;"2020-02-21 21:50";randomparity;283s;https://open.spotify.com/track/2cu4KvdykqkUOUsHu3NiTD
"Go Your Own Way - 2004 Remaster";"Fleetwood Mac";"Rumours (Super Deluxe)";USWB11301114;"2020-02-21 13:00";randomparity;224s;https://open.spotify.com/track/4xh7W7tlNMIczFhupCPniY
"Head Games";Foreigner;"Head Games";USAT20901939;"2020-02-19 23:30";randomparity;218s;https://open.spotify.com/track/5nk6wxUSFUBxUKxjz0fKD6
"Dirty White Boy";Foreigner;"Head Games";USAT20901938;"2020-02-21 18:58";randomparity;219s;https://open.spotify.com/track/2xpvmhp8j0UL9mCEqB1U0L
Urgent;Foreigner;"4 (Expanded)";USAT20803010;"2020-02-21 23:00";randomparity;271s;https://open.spotify.com/track/08onVqQ8YicJ98Ycm1qoLf
