title;artist;album;isrc;addedDate;addedBy;duration;url
"I Love Rocky Road";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400213;"2019-08-19 01:10";randomparity;156s;https://open.spotify.com/track/6tBzYurAiGkaGopgYPdNo7
"I'll Be Mellow When I'm Dead";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400239;"2019-08-19 01:11";randomparity;221s;https://open.spotify.com/track/7afCEhjQKgWLoLOUs0TX4m
"Happy Birthday";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400236;"2019-08-19 01:11";randomparity;148s;https://open.spotify.com/track/2ycobpjUnnzl8xFQkyvx12
"Gotta Boogie";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400234;"2019-08-19 01:11";randomparity;134s;https://open.spotify.com/track/5obuCoU65j2RvyG14qjUlv
"The Check's In the Mail";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400238;"2019-08-19 01:11";randomparity;194s;https://open.spotify.com/track/3kLuoSj7RsolIVN5k04RfW
"Stop Draggin' My Car Around";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400237;"2019-08-19 01:12";randomparity;196s;https://open.spotify.com/track/0KkrB1AkP93XCuiwpd2bCI
Dig:;"A Halo Called Fred";"Necessity is the Motherfucker of Invention";USA370317521;"2019-08-19 01:10";randomparity;118s;https://open.spotify.com/track/75nKVFqgWjHPPcGdK9YHlI
"Coroner & Knives";"Al Duvall";"Coroner & Knives";uscgj0759733;"2019-08-19 01:12";randomparity;225s;https://open.spotify.com/track/10xX4fbsFoNOkPmXKjZ43n
Meow;"Alice Blue";Meow;RUA1H1794556;"2019-08-19 01:10";randomparity;191s;https://open.spotify.com/track/2TxdWMQ7NM3iSv1EyFgOZd
"So Far So Good";"Andy Breckman";"Proud Dad";uscgj0947118;"2019-08-19 01:10";randomparity;143s;https://open.spotify.com/track/6sCQmwEehzVBnr0yHzHEgW
"I Am Cow";"Arrogant Worms";Dirt!;UST8K1420923;"2019-08-19 01:10";randomparity;122s;https://open.spotify.com/track/24Cwnor5iVkzlFQOQEajHR
"Me Like Hockey";"Arrogant Worms";"Completely Canadian Compilation";QM4DW1527708;"2019-08-19 01:10";randomparity;198s;https://open.spotify.com/track/0UW7WWkNt0YuKNRbDgNhuq
