title;artist;album;isrc;addedDate;addedBy;duration;url
"I'll Be Mellow When I'm Dead";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400239;"2014-04-04 06:03";12121164901;221s;https://open.spotify.com/track/7afCEhjQKgWLoLOUs0TX4m
"Eat It";"""Weird Al"" Yankovic";"The Essential ""Weird Al"" Yankovic";USVR10200028;"2014-04-04 06:17";12121164901;201s;https://open.spotify.com/track/0WuYuWhLws8VahMy2zLLRJ
Yoda;"""Weird Al"" Yankovic";"The Essential ""Weird Al"" Yankovic";USVR18300001;"2014-04-04 07:21";12121164901;236s;https://open.spotify.com/track/0dgoXwibX8inebNrM85muT
"Pretty Fly for a Rabbi (Parody of ""Pretty Fly (For a White Guy)"" by Offspring)";"""Weird Al"" Yankovic";"Running With Scissors";USVR19910851;"2014-04-04 07:30";12121164901;183s;https://open.spotify.com/track/5vLh40xCE0Hl0LJk5Sad1A
"The Brady Bunch";"""Weird Al"" Yankovic";"In 3-D";USVR10400194;"2014-04-04 08:04";12121164901;162s;https://open.spotify.com/track/1lPf1pvYZTz0xTPMOvZL3D
"Gump (Parody of ""Lump"" by The Presidents of the United States)";"""Weird Al"" Yankovic";"The Essential ""Weird Al"" Yankovic";USVR10300135;"2014-04-04 11:10";12121164901;130s;https://open.spotify.com/track/6LlUAzeDR4D5y0YsCkAlFO
"Another One Rides the Bus";"""Weird Al"" Yankovic";"The Essential ""Weird Al"" Yankovic";USVR10400211;"2014-04-05 06:18";12121164901;155s;https://open.spotify.com/track/7iAnfpIHu1cDsxovakGoCq
"I Love Rocky Road";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400213;"2014-04-05 07:44";12121164901;156s;https://open.spotify.com/track/6tBzYurAiGkaGopgYPdNo7
"Jerry Springer (Parody of ""One Week"" by BareNaked Ladies)";"""Weird Al"" Yankovic";"Running With Scissors";USVR19910854;"2014-04-07 05:00";12121164901;167s;https://open.spotify.com/track/46Uz2HuoUnYEk4PTZNIEvK
"Gotta Boogie";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400234;"2014-05-03 09:41";12121164901;134s;https://open.spotify.com/track/5obuCoU65j2RvyG14qjUlv
"The Saga Begins (Lyrical Adaption of ""American Pie"")";"""Weird Al"" Yankovic";"The Essential ""Weird Al"" Yankovic";USVR19910850;"2014-05-03 09:42";12121164901;329s;https://open.spotify.com/track/4PZvyMc32DVXmvk75qPVHN
"Bedrock Anthem";"""Weird Al"" Yankovic";"The Essential ""Weird Al"" Yankovic";USVR10200017;"2014-05-03 09:43";12121164901;222s;https://open.spotify.com/track/6HdPLKXFecMzdQo1PQ1ls9
"Dare to Be Stupid";"""Weird Al"" Yankovic";"The Essential ""Weird Al"" Yankovic";USVR10200033;"2014-05-03 09:43";12121164901;205s;https://open.spotify.com/track/0f2SpeQKNC5WSVg0HwABYS
"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)";"""Weird Al"" Yankovic";"The Essential ""Weird Al"" Yankovic";USVR10300129;"2014-05-03 09:58";12121164901;200s;https://open.spotify.com/track/6nofbMbadUdrtZmIsBHyYE
"Mr. Frump In the Iron Lung";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400241;"2014-05-03 10:04";12121164901;114s;https://open.spotify.com/track/2OrepefyAVWrOIuMNc5OJ9
"My Bologna";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400224;"2014-05-03 10:05";12121164901;122s;https://open.spotify.com/track/77exFA9gOKLvj6yhyX07HD
"Stop Draggin' My Car Around";"""Weird Al"" Yankovic";"""Weird Al"" Yankovic";USVR10400237;"2014-05-03 10:05";12121164901;196s;https://open.spotify.com/track/0KkrB1AkP93XCuiwpd2bCI
Tacky;"""Weird Al"" Yankovic";"Mandatory Fun";USRC11401412;"2014-07-28 17:27";12121164901;173s;https://open.spotify.com/track/1ZqKCseNe8FIZRDyl2E2Ac
"NOW That's What I Call Polka!";"""Weird Al"" Yankovic";"Mandatory Fun";USRC11401408;"2014-07-28 17:32";12121164901;246s;https://open.spotify.com/track/5mN0UUIKMVtnfsW8lhwzqY
