title,artist,album,isrc,platform,duration,addedDate,addedBy,url
"1 Last Cigarette","The Band CAMINO","1 Last Cigarette",USAT22100087,spotify,186s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/07cZs4Bn5aMHsQMFZ7MOui
10:36,beabadoobee,10:36,GBK3W2202089,spotify,195s,"2022-06-19 17:32",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1FPTtFzvWMtV1A7ouK78at
"11 Minutes (with Halsey feat. Travis Barker)","YUNGBLUD, Halsey, Travis Barker","11 Minutes (with Halsey feat. Travis Barker)",USUG11800795,spotify,240s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4
1901,Phoenix,"Wolfgang Amadeus Phoenix",FR31Q0900002,spotify,193s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3FM33HqRlV7J1QJoPOnd2u
2all,"Catfish and the Bottlemen","The Balance",GBUM71806861,spotify,188s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0ZfEeIu7CNHQhbCTiVv3cx
2am,Foals,2am,GBAHT2102082,spotify,224s,"2022-02-25 20:39",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/04no0XXxXd3F5uLZi3qDYK
"3 Nights","Dominic Fike","Don't Forget About Me, Demos",USQX91802455,spotify,178s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
"3am in nyc",SEB,"3am in nyc",USQE92200111,spotify,189s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6gyTRWKIQ9XFjZrxrslFsg
"A Little Bit of Love",Weezer,"A Little Bit of Love",USAT22201210,spotify,164s,"2022-03-30 23:22",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0eLXFaZoGjVbzNmMd4LpmA
"ALMOST FAMOUS","Beauty School Dropout, Mark Hoppus","We Made Plans & God Laughed",QZK6G2231509,spotify,188s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7lXAfpNbrQmbsqs9ZmsPv7
A-Punk,"Vampire Weekend","Vampire Weekend",GBBKS0700527,spotify,138s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1595LW73XBxkRk2ciQOHfr
"About You",Blxst,"About You",USP6L2100902,spotify,171s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0P9lyICk63dqZSqXV2HBP0
Afraid,"The Neighbourhood","I Love You.",USSM11300889,spotify,251s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7brQHA2CgQpcMBiOlfiXYb
"Ain't No Rest for the Wicked","Cage The Elephant","Cage The Elephant (Expanded Edition)",USJI10900260,spotify,175s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3Pzh926pXggbMe2ZpXyMV7
Alaska,"Little Hurt",Alaska,USQX91901792,spotify,189s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0sSoNYwZLoE4gLAKIG4uYL
"All About You (feat. Foster The People)","The Knocks, Foster The People","All About You (feat. Foster The People)",USAT22006617,spotify,217s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5ug2bpyUHVOR7Y3TUPH3J7
"All Comes Crashing",Metric,"All Comes Crashing",QM4TX2261133,spotify,263s,"2022-05-09 06:09",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1gKLWryPONC9dyrx5fX3Dr
"All My Favorite Songs",Weezer,"All My Favorite Songs",USAT22006550,spotify,203s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0HOvlNv2ClRN4Gb6Y40dxc
"All My Life","Foo Fighters","One By One (Expanded Edition)",USRW30200001,spotify,263s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6tsojOQ5wHaIjKqIryLZK6
"All The Small Things",blink-182,"Enema Of The State",USMC19959123,spotify,167s,"2022-03-30 23:22",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU
"Alpha Zulu",Phoenix,"Alpha Zulu",FR9W12214138,spotify,170s,"2022-06-06 19:02",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1QgegXUzfvRJxNRHM9sP3F
"American Idiot","Green Day","American Idiot",USRE10400888,spotify,176s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6nTiIhLmQ3FWhvrGafw2zj
Angela,"The Lumineers",Cleopatra,USDMG1673805,spotify,202s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5bodDpPolC3xlame0SVcDY
Animal,"Neon Trees",Habits,USUM71001801,spotify,212s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1fBl642IhJOE5U319Gy2Go
"Anna Sun","WALK THE MOON","Walk The Moon (Expanded Edition)",USRC11200002,spotify,321s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0B1ir19jaWI1KNDbWbXwEZ
"Anna Sun","WALK THE MOON","Walk The Moon",USRC11200002,spotify,321s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3e0yTP5trHBBVvV32jwXqF
Anti-glory,Horsegirl,Anti-glory,USMTD2100667,spotify,211s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7fDPgekQGJKkyyqjuhtNSG
"Are You Bored Yet? (feat. Clairo)","Wallows, Clairo","Nothing Happens",USAT21812258,spotify,178s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
"Are You Gonna Be My Girl",Jet,"Get Born",USEE10340526,spotify,214s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/305WCRhhS10XUcH6AEwZk6
"As It Was","Harry Styles","As It Was",USSM12200612,spotify,167s,"2022-04-12 07:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
"Astronaut (Something About Your Love)",Mansionair,Shadowboxer,USYAH1700133,spotify,203s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1XXqmnOgL9k9lcRT3hncTf
Avalanche,"WALK THE MOON","TALKING IS HARD",USRC11402584,spotify,219s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3JxaZPq4UjkOaxnpyMUtAC
BLACKOUT,Turnstile,"GLOW ON",NLA322100050,spotify,173s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0bGImSqDB2ebdeoCidUC8o
BRIGHTSIDE,"The Lumineers",BRIGHTSIDE,USDMG2224901,spotify,230s,"2021-09-24 01:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1TX0ImiGMYiikRash29a2b
"Back Against the Wall","Cage The Elephant","Cage The Elephant (Expanded Edition)",USJI10900295,spotify,228s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0vz64VTiPPBpcmla0QvAI9
"Bad Decisions","The Strokes","Bad Decisions",USRC11902729,spotify,293s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6e2pJqucDMxbp061B40r6O
"Bad Dream",Cannons,"Bad Dream",USSM12100919,spotify,203s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2IwbIGkquI55VOzcWUg8fg
Bang!,AJR,Bang!,QMRSZ2000128,spotify,171s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
"Bed Head","Manchester Orchestra","Bed Head",USC4R2005025,spotify,244s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7oeyJeknYRMuD9ufVzyglS
Beggin',Måneskin,Chosen,ITB001700846,spotify,212s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
"Believe - Moon Version","The Bravery","The Sun And The Moon Complete",USUM70804210,spotify,200s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7MTYSchnlSeTCYo5NIuSYS
Believer,"Imagine Dragons",Evolve,USUM71700626,spotify,204s,"2022-02-25 20:39",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
