title;artist;album;isrc;addedDate;addedBy;duration;url
Dissolve;Absofacto;"Thousand Peaces";USAT21704522;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;225s;https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR
"Hold On For Dear Life";"Adam Melchor, Briston Maroney";"Hold On For Dear Life";USWB12104364;"2021-11-24 23:02";sj1bdpnkh9q3knr3ss718da1d;227s;https://open.spotify.com/track/2qQvRQWSdIzyFK0Uvxh3V1
"Pretty Girls (The Mover)";"Against Me!";"Searching for a Former Clarity";USFW40568407;"2021-10-22 00:14";sj1bdpnkh9q3knr3ss718da1d;165s;https://open.spotify.com/track/19Xz042C5fxUlFcXNeYdUW
"Burn The House Down";AJR;"The Click (Deluxe Edition)";QMRSZ1702960;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;212s;https://open.spotify.com/track/0TkJIyL69RAUIbNwGub6uR
"Way Less Sad";AJR;"Way Less Sad";QMRSZ2003325;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;206s;https://open.spotify.com/track/4jbtL4tjkqghUvJknUqU1s
Bang!;AJR;Bang!;QMRSZ2000128;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;171s;https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
"No Roots";"Alice Merton";"No Roots";DEVQ71600001;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;236s;https://open.spotify.com/track/4CdfFYzaAJ0y0beKzmgJSn
"High Fidelity";"Alisa Xayalith";"High Fidelity";QMDA72166604;"2021-12-21 22:54";sj1bdpnkh9q3knr3ss718da1d;210s;https://open.spotify.com/track/6Fp3Zh7rCRiICGnPWVcCUk
"Once In A Lifetime";"All Time Low";"Once In A Lifetime";USAT22100882;"2022-01-03 20:08";sj1bdpnkh9q3knr3ss718da1d;190s;https://open.spotify.com/track/2Qjkvp4GLlL60lFXtEte0X
"Left Hand Free";alt-J;"This Is All Yours";GBZUZ1400272;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;174s;https://open.spotify.com/track/4iEOVEULZRvmzYSZY2ViKN
"Dissolve Me";alt-J;"An Awesome Wave";GBZUZ1200070;"2021-09-24 01:20";sj1bdpnkh9q3knr3ss718da1d;239s;https://open.spotify.com/track/2Dv7PTwSoB17f3VFDIKw8m
"Cecilia And The Satellite";"Andrew McMahon in the Wilderness";"Andrew McMahon In The Wilderness";USVG21403647;"2021-04-15 03:30";sj1bdpnkh9q3knr3ss718da1d;224s;https://open.spotify.com/track/1MSM3Fo2fvnwVqMcz8Jhjq
