title;artist;album;isrc;addedDate;addedBy;duration;url
"Dreadlock Holiday";10cc;"Bloody Tourists";GBF087800002;"2021-01-02 23:21";randomparity;268s;https://open.spotify.com/track/1LOZMYF5s8qhW7Rv4w2gun
"The Things We Do For Love";10cc;"Deceptive Bends";GBF087600005;"2021-01-03 02:34";randomparity;208s;https://open.spotify.com/track/6KEWtSOGKpIXGw6l1uJgsR
"How Long";Ace;Five-A-Side;GBAZJ0600006;"2021-01-03 04:15";randomparity;204s;https://open.spotify.com/track/4AjKVyNUMdUveKK5OH1OJD
"Even the Nights Are Better";"Air Supply";"Ultimate Air Supply";USAR18200001;"2021-01-03 02:32";randomparity;235s;https://open.spotify.com/track/7lPh1t9NAKuHxiUrrDbHhj
"All Out of Love";"Air Supply";"Lost in Love";USAR18000002;"2021-01-03 02:32";randomparity;243s;https://open.spotify.com/track/7dQC53NiYOY9gKg3Qsu2Bs
"Biggest Part of Me";Ambrosia;"One Eighty";USWB18000096;"2021-01-03 02:40";randomparity;324s;https://open.spotify.com/track/6JHXiRD1QjMK1N6AQEnL04
"How Much I Feel";Ambrosia;"Life Beyond L.A.";USWB17800025;"2021-01-03 02:40";randomparity;283s;https://open.spotify.com/track/3GVhCuS4BRxCTvVj4Cmc8w
"You're the Only Woman - You & I";Ambrosia;"One Eighty";USWB18000097;"2021-01-04 18:57";randomparity;263s;https://open.spotify.com/track/11qmuUlW5q5diLiVSOlsSF
"Sister Golden Hair";America;"America's Greatest Hits - History";USWB19901801;"2021-01-03 04:18";randomparity;197s;https://open.spotify.com/track/4BCmdMShfg9uz1WeyXaFae
"Daisy Jane";America;"America's Greatest Hits - History";USWB19901802;"2021-01-03 04:18";randomparity;186s;https://open.spotify.com/track/7Lv30zUbvlC5J2VMqpE7Ps
"You Can Do Magic";America;"View From The Ground";USCA29300290;"2021-01-03 04:19";randomparity;237s;https://open.spotify.com/track/5dXED6MP1v1qghkaniirb1
"A Horse with No Name";"America, George Martin";America;USWB19901792;"2021-01-03 04:18";randomparity;252s;https://open.spotify.com/track/54eZmuggBFJbV7k248bTTt
"Ventura Highway";"America, George Martin";Homecoming;USWB19901795;"2021-01-03 04:19";randomparity;211s;https://open.spotify.com/track/4IU1RL4BKvFyXtbTwaHAvW
"So Into You";"Atlanta Rhythm Section";"A Rock And Roll Alternative";USUMG9900509;"2021-01-03 02:29";randomparity;261s;https://open.spotify.com/track/3Sm5TYFgMXyXwgAcY2xweX
"Into The Night - Re-Recorded In Stereo";"Benny Mardones";"Benny Mardones";USCRB0201438;"2021-01-03 02:44";randomparity;263s;https://open.spotify.com/track/3L6dQDUquuO9xORMBsxYao
"Key Largo";"Bertie Higgins";"The Essential Playlist";US2G40500731;"2021-01-03 02:33";randomparity;199s;https://open.spotify.com/track/41v56RunWqxgqTD4H2cwOD
"Just Another Day in Paradise";"Bertie Higgins";"Just Another Day in Paradise";ushm20694954;"2021-01-03 02:33";randomparity;236s;https://open.spotify.com/track/1FerGrTyGsT1KufVFVuvA4
"Caribbean Queen (No More Love On the Run)";"Billy Ocean";"The Very Best of Billy Ocean";GBAHK9700109;"2021-01-03 04:24";randomparity;244s;https://open.spotify.com/track/4JEylZNW8SbO4zUyfVrpb7
"Ride Captain Ride";"Blues Image";"Open (US Internet Release)";USEE10412858;"2021-01-03 04:15";randomparity;226s;https://open.spotify.com/track/1d9hUvkv64Wmdu671Dydpc
"What You Won't Do for Love";"Bobby Caldwell";"What You Won't Do for Love";USA370532331;"2021-01-03 04:17";randomparity;286s;https://open.spotify.com/track/7dL8FCLzEaWC2A3qWQuz1q
JoJo;"Boz Scaggs";"Middle Man";USSM19802157;"2021-01-03 04:22";randomparity;353s;https://open.spotify.com/track/3tPmepOCcFRoxuFmmRe0Kn
Georgia;"Boz Scaggs";"Silk Degrees";USSM17500563;"2021-01-03 04:22";randomparity;235s;https://open.spotify.com/track/428IK8fDAscfRpmavVKJkN
Lowdown;"Boz Scaggs";"Silk Degrees";USSM17500295;"2021-01-03 04:22";randomparity;316s;https://open.spotify.com/track/0nlZjTPzW6S9JIESuGfImT
"Lido Shuffle";"Boz Scaggs";"Silk Degrees";USSM17500569;"2021-01-03 04:22";randomparity;222s;https://open.spotify.com/track/2NtqZmfRIDkXJ2YvY2Kv1F
"Guitar Man";Bread;"Guitar Man";USEE10180675;"2021-01-03 04:14";randomparity;226s;https://open.spotify.com/track/0gZXockVcE7rEhSf4mcGLO
"You're so Vain";"Carly Simon";"No Secrets";USEE19900883;"2021-01-03 02:42";randomparity;258s;https://open.spotify.com/track/2DnJjbjNTV9Nd5NOa1KGba
"How 'Bout Us";Champaign;"How 'Bout Us (Expanded Edition)";USSM19801711;"2021-01-27 04:17";randomparity;273s;https://open.spotify.com/track/1jc24HfkDT31GLKlxesuZl
"Baby What a Big Surprise - Remastered";Chicago;"Oldies 70's";USRH10722087;"2021-01-03 04:20";randomparity;186s;https://open.spotify.com/track/3BJnv1V5aBdXKluFt8bECv
"If You Leave Me Now";Chicago;"Chicago X";USRH10285535;"2021-01-03 04:20";randomparity;235s;https://open.spotify.com/track/0KMGxYKeUzK9wc5DZCt3HT
"Baby, What a Big Surprise - 2002 Remaster";Chicago;"The Very Best of Chicago: Only the Beginning";USRH10285537;"2021-01-03 04:21";randomparity;183s;https://open.spotify.com/track/4gC5AmerRHtD4M4vCSBqJI
"My Girl (Gone, Gone, Gone)";Chilliwack;"Wanna Be A Star";CAS269900007;"2021-01-19 04:08";randomparity;255s;https://open.spotify.com/track/0m28f73Piz111HOdimOmmf
"Ride Like the Wind";"Christopher Cross";"Christopher Cross";USWB19901342;"2021-01-03 04:30";randomparity;276s;https://open.spotify.com/track/7gUMShP1l20tC0xf17Zplk
Sailing;"Christopher Cross";"Christopher Cross";USWB19901344;"2021-01-03 04:30";randomparity;256s;https://open.spotify.com/track/6Hu6dzwlvoyg3zBUC8k4BK
"All Right";"Christopher Cross";"Another Page";USWB19903178;"2021-01-03 04:31";randomparity;254s;https://open.spotify.com/track/5tE2kEW1Jom3Qc93UPBT79
"I Really Don't Know Anymore";"Christopher Cross";"Christopher Cross";USWB19901338;"2021-01-07 21:52";randomparity;233s;https://open.spotify.com/track/14QIzQLldgAVxrkDnaV8b7
"All Right";"Christopher Cross";"Another Page";USWB19903178;"2021-01-08 01:47";randomparity;254s;https://open.spotify.com/track/5tE2kEW1Jom3Qc93UPBT79
"Feels So Good";"Chuck Mangione";"Feels So Good";USAM17700535;"2021-01-03 04:27";randomparity;583s;https://open.spotify.com/track/2M7EflZCPCqqRLB9hy5MDy
"Devil Woman";"Cliff Richard";"40 Golden Greats";GBAYE7600329;"2021-01-03 02:54";randomparity;215s;https://open.spotify.com/track/2oRn0QuaWQ1hragGQ7XZ9s
"Couldn't Get It Right";"Climax Blues Band";"Gold Plated";GBEHT0400579;"2021-01-02 23:42";randomparity;199s;https://open.spotify.com/track/7GSCnEFxiD6Im98CbfySDw
"Sail On";Commodores;"Midnight Magic";USMO10000524;"2021-01-02 23:06";randomparity;332s;https://open.spotify.com/track/2QglMIKYxa06BFSXG6KwvC
"Southern Cross";"Crosby, Stills & Nash";"Greatest Hits";USAT20000094;"2021-01-03 02:42";randomparity;281s;https://open.spotify.com/track/4k1YrSM0KCb5LepafCrW5K
"Rich Girl";"Daryl Hall & John Oates";"Bigger Than Both Of Us";USRC17607760;"2021-01-03 02:51";randomparity;143s;https://open.spotify.com/track/0qRR9d89hIS0MHRkQ0ejxX
"She's Gone";"Daryl Hall & John Oates";"Abandoned Luncheonette";USAT20614606;"2021-01-03 04:32";randomparity;313s;https://open.spotify.com/track/5dFoWIiJ2814hRwMYDcFiU
"Kiss on My List";"Daryl Hall & John Oates";Voices;USRC10301820;"2021-01-03 04:32";randomparity;265s;https://open.spotify.com/track/7cDzJyC95jtGO9zAeZsWOg
"We Just Disagree";"Dave Mason";"Super Hits";USSM17700902;"2021-01-03 02:52";randomparity;180s;https://open.spotify.com/track/7qpuECko60EoztznowMWj1
"Better Love Next Time";"Dr. Hook";"Greatest Hits";USCA28700269;"2021-01-03 04:33";randomparity;181s;https://open.spotify.com/track/6ZnOQsOEWMhWNENR1HSClT
"Sexy Eyes";"Dr. Hook";"Greatest Hits";USCA28900176;"2021-01-03 04:33";randomparity;209s;https://open.spotify.com/track/0QpZ69CTjRbJ3ZVsnTaGfa
